"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:429:7:429:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","427","14","427","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:402:7:402:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","400","14","400","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:373:7:373:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","371","14","371","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:342:7:342:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","340","14","340","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:311:7:311:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","309","14","309","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:281:7:281:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","279","14","279","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:241:7:241:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","239","14","239","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:192:7:192:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","190","14","190","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:160:7:160:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","158","14","158","25"
"Incorrect allocation-error handling","Mixing up the failure conditions of 'operator new' and 'operator new(std::nothrow)' can result in unexpected behavior.","warning","This allocation cannot return null. [[""This check""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp:97:7:97:16""]] is unnecessary.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/value.cpp","95","14","95","25"
"Poorly documented large function","Large functions that have no or almost no comments are likely to be too complex to understand and maintain. The larger a function is, the more problematic the lack of comments.","warning","Poorly documented function: fewer than 2% comments for a function of 128 lines.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/main.cpp","206","5","206","8"
"Potentially uninitialized local variable","Reading from a local variable that has not been assigned to will typically yield garbage.","warning","The variable [[""fname""|""relative:///ruaronicola/codeql-codebases/garfield/challenge_src/src/main.cpp:213:8:213:12""]] may not be initialized at this access.","/ruaronicola/codeql-codebases/garfield/challenge_src/src/main.cpp","267","15","267","19"
