func_name,function_signature,filename,filepath,start_line,end_line,start_column,end_column,start_offset,end_offset,line_map
toXMLUTF8,"core/src/main/java/hudson/util/XStream2.java:383:11::hudson.util.XStream2.void toXMLUTF8(Objectobj,OutputStreamout)",XStream2.java,core/src/main/java/hudson/util/XStream2.java,383,387,11,4,17030,17260,"[(383, '\'void toXMLUTF8(Object obj, OutputStream out) throws IOException {\\n        Writer w = new OutputStreamWriter(out, StandardCharsets.UTF_8);\\n        w.write(""<?xml version=\\\\""1.1\\\\"" encoding=\\\\""UTF-8\\\\""?>\\\\n"");\\n        toXML(obj, w);\\n    }\'')]"
openHttpConnection,cli/src/main/java/hudson/cli/FullDuplexHttpStream.java:97:12::hudson.cli.FullDuplexHttpStream.HttpURLConnection openHttpConnection(URLtarget),FullDuplexHttpStream.java,cli/src/main/java/hudson/cli/FullDuplexHttpStream.java,97,99,12,4,3699,3833,"[(97, ""'HttpURLConnection openHttpConnection(URL target) throws IOException {\\n        return (HttpURLConnection) target.openConnection();\\n    }'"")]"
createPath,core/src/main/java/hudson/model/Node.java:468:25::hudson.model.Node.FilePath createPath(StringabsolutePath),Node.java,core/src/main/java/hudson/model/Node.java,468,472,25,4,17731,17921,"[(468, ""'FilePath createPath(String absolutePath) {\\n        VirtualChannel ch = getChannel();\\n        if (ch == null)    return null;    // offline\\n        return new FilePath(ch, absolutePath);\\n    }'"")]"
hasFreshToken,"core/src/main/java/jenkins/security/apitoken/LegacyApiTokenAdministrativeMonitor.java:121:11::jenkins.security.apitoken.LegacyApiTokenAdministrativeMonitor.boolean hasFreshToken(@NonNullUseruser,ApiTokenProperty.TokenInfoAndStatslegacyStats)",LegacyApiTokenAdministrativeMonitor.java,core/src/main/java/jenkins/security/apitoken/LegacyApiTokenAdministrativeMonitor.java,121,138,11,4,4653,5435,"[(121, ""'boolean hasFreshToken(@NonNull User user, ApiTokenProperty.TokenInfoAndStats legacyStats) {\\n        if (legacyStats == null) {\\n            return false;\\n        }\\n\\n        ApiTokenProperty apiTokenProperty = user.getProperty(ApiTokenProperty.class);\\n\\n        return apiTokenProperty.getTokenList().stream()\\n                .filter(token -> !token.isLegacy)\\n                .anyMatch(token -> {\\n                    Date creationDate = token.creationDate;\\n                    Date lastUseDate = legacyStats.lastUseDate;\\n                    if (lastUseDate == null) {\\n                        lastUseDate = legacyStats.creationDate;\\n                    }\\n                    return creationDate != null && lastUseDate != null && creationDate.after(lastUseDate);\\n                });\\n    }'"")]"
toNormalizedIconNameClass,core/src/main/java/org/jenkins/ui/icon/IconSet.java:211:18::org.jenkins.ui.icon.IconSet.String toNormalizedIconNameClass(Objectstring),IconSet.java,core/src/main/java/org/jenkins/ui/icon/IconSet.java,211,216,18,4,7654,7834,"[(211, ""'String toNormalizedIconNameClass(Object string) {\\n        if (string == null) {\\n            return null;\\n        }\\n        return toNormalizedIconNameClass(string.toString());\\n    }'"")]"
checkPermission,"core/src/main/java/hudson/Functions.java:881:18::hudson.Functions.void checkPermission(Objectobject,Permissionpermission)",Functions.java,core/src/main/java/hudson/Functions.java,881,898,18,4,32152,32869,"[(881, ""'void checkPermission(Object object, Permission permission) throws IOException, ServletException {\\n        if (permission == null)\\n            return;\\n\\n        if (object instanceof AccessControlled)\\n            checkPermission((AccessControlled) object, permission);\\n        else {\\n            List<Ancestor> ancs = Stapler.getCurrentRequest().getAncestors();\\n            for (Ancestor anc : Iterators.reverse(ancs)) {\\n                Object o = anc.getObject();\\n                if (o instanceof AccessControlled) {\\n                    checkPermission((AccessControlled) o, permission);\\n                    return;\\n                }\\n            }\\n            checkPermission(Jenkins.get(), permission);\\n        }\\n    }'"")]"
addJob,core/src/main/java/hudson/model/UpdateCenter.java:903:24::hudson.model.UpdateCenter.Future<UpdateCenterJob> addJob(UpdateCenterJobjob),UpdateCenter.java,core/src/main/java/hudson/model/UpdateCenter.java,903,908,24,4,33738,33912,"[(903, ""'Future<UpdateCenterJob> addJob(UpdateCenterJob job) {\\n        if (job.site != null) {\\n            addConnectionCheckJob(job.site);\\n        }\\n        return job.submit();\\n    }'"")]"
getByNumber,core/src/main/java/jenkins/model/lazy/AbstractLazyLoadRunMap.java:510:11::jenkins.model.lazy.AbstractLazyLoadRunMap.R getByNumber(intn),AbstractLazyLoadRunMap.java,core/src/main/java/jenkins/model/lazy/AbstractLazyLoadRunMap.java,510,532,11,4,17107,17941,"[(510, ""'R getByNumber(int n) {\\n        Index snapshot = index;\\n        if (snapshot.byNumber.containsKey(n)) {\\n            BuildReference<R> ref = snapshot.byNumber.get(n);\\n            if (ref == null)      return null;    // known failure\\n            R v = unwrap(ref);\\n            if (v != null)        return v;       // already in memory\\n            // otherwise fall through to load\\n        }\\n        synchronized (this) {\\n            if (index.byNumber.containsKey(n)) { // JENKINS-22767: recheck inside lock\\n                BuildReference<R> ref = index.byNumber.get(n);\\n                if (ref == null) {\\n                    return null;\\n                }\\n                R v = unwrap(ref);\\n                if (v != null) {\\n                    return v;\\n                }\\n            }\\n            return load(n, null);\\n        }\\n    }'"")]"
setProxiedViewName,core/src/main/java/hudson/model/ProxyView.java:81:11::hudson.model.ProxyView.void setProxiedViewName(StringproxiedViewName),ProxyView.java,core/src/main/java/hudson/model/ProxyView.java,81,83,11,4,2754,2856,"[(81, ""'void setProxiedViewName(String proxiedViewName) {\\n        this.proxiedViewName = proxiedViewName;\\n    }'"")]"
writeByteArray,core/src/main/java/hudson/cli/Connection.java:134:11::hudson.cli.Connection.void writeByteArray(byte[]data),Connection.java,core/src/main/java/hudson/cli/Connection.java,134,137,11,4,4640,4760,"[(134, ""'void writeByteArray(byte[] data) throws IOException {\\n        dout.writeInt(data.length);\\n        dout.write(data);\\n    }'"")]"
isValidDomainSyntax,core/src/main/java/jenkins/org/apache/commons/validator/routines/DomainValidator.java:299:10::jenkins.org.apache.commons.validator.routines.DomainValidator.boolean isValidDomainSyntax(Stringdomain),DomainValidator.java,core/src/main/java/jenkins/org/apache/commons/validator/routines/DomainValidator.java,299,314,10,4,11192,11838,"[(299, ""'boolean isValidDomainSyntax(String domain) {\\n        if (domain == null) {\\n            return false;\\n        }\\n        domain = unicodeToASCII(domain);\\n        // hosts must be equally reachable via punycode and Unicode;\\n        // Unicode is never shorter than punycode, so check punycode\\n        // if domain did not convert, then it will be caught by ASCII\\n        // checks in the regexes below\\n        if (domain.length() > MAX_DOMAIN_LENGTH) {\\n            return false;\\n        }\\n        String[] groups = domainRegex.match(domain);\\n        return (groups != null && groups.length > 0)\\n                || hostnameRegex.isValid(domain);\\n    }'"")]"
parseArguments,core/src/main/java/hudson/cli/handlers/GenericItemOptionHandler.java:59:21::hudson.cli.handlers.GenericItemOptionHandler.int parseArguments(Parametersparams),GenericItemOptionHandler.java,core/src/main/java/hudson/cli/handlers/GenericItemOptionHandler.java,59,82,21,4,2330,3466,"[(59, '\'int parseArguments(Parameters params) throws CmdLineException {\\n        final Jenkins j = Jenkins.get();\\n        final String src = params.getParameter(0);\\n        T s = j.getItemByFullName(src, type());\\n        if (s == null) {\\n            final Authentication who = Jenkins.getAuthentication2();\\n            try (ACLContext acl = ACL.as2(ACL.SYSTEM2)) {\\n                Item actual = j.getItemByFullName(src);\\n                if (actual == null) {\\n                    LOGGER.log(Level.FINE, ""really no item exists named {0}"", src);\\n                } else {\\n                    LOGGER.log(Level.WARNING, ""running as {0} could not find {1} of {2}"", new Object[] {who.getPrincipal(), actual, type()});\\n                }\\n            }\\n            T nearest = Items.findNearest(type(), src, j);\\n            if (nearest != null) {\\n                throw new IllegalArgumentException(""No such job \\\'"" + src + ""\\\'; perhaps you meant \\\'"" + nearest.getFullName() + ""\\\'?"");\\n            } else {\\n                throw new IllegalArgumentException(""No such job \\\'"" + src + ""\\\'"");\\n            }\\n        }\\n        setter.addValue(s);\\n        return 1;\\n    }\'')]"
encodeTo,"core/src/main/java/hudson/console/ModelHyperlinkNote.java:37:18::hudson.console.ModelHyperlinkNote.String encodeTo(Useru,Stringtext)",ModelHyperlinkNote.java,core/src/main/java/hudson/console/ModelHyperlinkNote.java,37,39,18,4,991,1083,"[(37, '""String encodeTo(User u, String text) {\\n        return encodeTo(\'/\' + u.getUrl(), text);\\n    }""')]"
calculate,"core/src/main/java/jenkins/widgets/RunListProgressiveRendering.java:80:23::jenkins.widgets.RunListProgressiveRendering.void calculate(Run<?,?>build,JSONObjectelement)",RunListProgressiveRendering.java,core/src/main/java/jenkins/widgets/RunListProgressiveRendering.java,80,80,23,74,2956,3007,"[(80, ""'void calculate(Run<?, ?> build, JSONObject element);'"")]"
onLoad,"core/src/main/java/hudson/model/ViewJob.java:101:11::hudson.model.ViewJob.void onLoad(ItemGroup<?extendsItem>parent,Stringname)",ViewJob.java,core/src/main/java/hudson/model/ViewJob.java,101,104,11,4,3299,3445,"[(101, ""'void onLoad(ItemGroup<? extends Item> parent, String name) throws IOException {\\n        super.onLoad(parent, name);\\n        notLoaded = true;\\n    }'"")]"
getInstance,core/src/main/java/jenkins/security/stapler/StaplerDispatchValidator.java:186:11::jenkins.security.stapler.StaplerDispatchValidator.StaplerDispatchValidator getInstance(@NonNullServletContextcontext),StaplerDispatchValidator.java,core/src/main/java/jenkins/security/stapler/StaplerDispatchValidator.java,186,188,11,4,7663,7825,"[(186, ""'StaplerDispatchValidator getInstance(@NonNull ServletContext context) {\\n        return (StaplerDispatchValidator) WebApp.get(context).getDispatchValidator();\\n    }'"")]"
doConfirmRename,core/src/main/java/hudson/model/AbstractItem.java:257:11::hudson.model.AbstractItem.HttpResponse doConfirmRename(@QueryParameterStringnewName),AbstractItem.java,core/src/main/java/hudson/model/AbstractItem.java,257,269,11,4,8466,9060,"[(257, '\'HttpResponse doConfirmRename(@QueryParameter String newName) throws IOException {\\n        newName = newName == null ? null : newName.trim();\\n        FormValidation validationError = doCheckNewName(newName);\\n        if (validationError.kind != FormValidation.Kind.OK) {\\n            throw new Failure(validationError.getMessage());\\n        }\\n\\n        renameTo(newName);\\n        // send to the new job page\\n        // note we can\\\'t use getUrl() because that would pick up old name in the\\n        // Ancestor.getUrl()\\n        return HttpResponses.redirectTo(""../"" + Functions.encode(newName));\\n    }\'')]"
doStopBuild,core/src/main/java/hudson/model/Executor.java:879:11::hudson.model.Executor.HttpResponse doStopBuild(@CheckForNull@QueryParameter(fixEmpty=true)StringrunExtId),Executor.java,core/src/main/java/hudson/model/Executor.java,879,901,11,4,31402,32577,"[(879, ""'HttpResponse doStopBuild(@CheckForNull @QueryParameter(fixEmpty = true) String runExtId) {\\n        lock.writeLock().lock(); // need write lock as interrupt will change the field\\n        try {\\n            if (executable != null) {\\n                if (runExtId == null || runExtId.isEmpty() || ! (executable instanceof Run)\\n                        || (runExtId.equals(((Run<?, ?>) executable).getExternalizableId()))) {\\n                    final Queue.Task ownerTask = getParentOf(executable).getOwnerTask();\\n                    boolean canAbort = ownerTask.hasAbortPermission();\\n                    if (canAbort && ownerTask instanceof AccessControlled) {\\n                        if (!((AccessControlled) ownerTask).hasPermission(Item.READ)) {\\n                            // pretend the build does not exist\\n                            return HttpResponses.forwardToPreviousPage();\\n                        }\\n                    }\\n                    ownerTask.checkAbortPermission();\\n                    interrupt();\\n                }\\n            }\\n        } finally {\\n            lock.writeLock().unlock();\\n        }\\n        return HttpResponses.forwardToPreviousPage();\\n    }'"")]"
reportAsHeaders,core/src/main/java/hudson/security/AccessDeniedException2.java:44:11::hudson.security.AccessDeniedException2.void reportAsHeaders(HttpServletResponsersp),AccessDeniedException2.java,core/src/main/java/hudson/security/AccessDeniedException2.java,44,46,11,4,1625,1718,"[(44, ""'void reportAsHeaders(HttpServletResponse rsp) {\\n        toSpring().reportAsHeaders(rsp);\\n    }'"")]"
addLine,core/src/main/java/hudson/EnvVars.java:405:11::hudson.EnvVars.void addLine(Stringline),EnvVars.java,core/src/main/java/hudson/EnvVars.java,405,410,11,4,14889,15057,"[(405, '""void addLine(String line) {\\n        int sep = line.indexOf(\'=\');\\n        if (sep > 0) {\\n            put(line.substring(0, sep), line.substring(sep + 1));\\n        }\\n    }""')]"
fireOnCreated,core/src/main/java/jenkins/model/NodeListener.java:65:18::jenkins.model.NodeListener.void fireOnCreated(@NonNullNodenode),NodeListener.java,core/src/main/java/jenkins/model/NodeListener.java,65,67,18,4,2078,2200,"[(65, ""'void fireOnCreated(@NonNull Node node) {\\n        Listeners.notify(NodeListener.class, false, l -> l.onCreated(node));\\n    }'"")]"
onStarted,"core/src/main/java/hudson/model/listeners/RunListener.java:129:11::hudson.model.listeners.RunListener.void onStarted(Rr,TaskListenerlistener)",RunListener.java,core/src/main/java/hudson/model/listeners/RunListener.java,129,129,11,55,4823,4867,"[(129, ""'void onStarted(R r, TaskListener listener) {}'"")]"
get,core/src/main/java/hudson/util/QueryParameterMap.java:73:11::hudson.util.QueryParameterMap.String get(Stringname),QueryParameterMap.java,core/src/main/java/hudson/util/QueryParameterMap.java,73,76,11,4,2705,2821,"[(73, ""'String get(String name) {\\n        List<String> v = store.get(name);\\n        return v != null ? v.get(0) : null;\\n    }'"")]"
forXml,test/src/test/java/jenkins/install/InstallStateTest.java:98:19::jenkins.install.InstallStateTest.InstallState forXml(Stringxml),InstallStateTest.java,test/src/test/java/jenkins/install/InstallStateTest.java,98,103,19,4,3713,3934,"[(98, ""'InstallState forXml(String xml) {\\n        Object read = Jenkins.XSTREAM2.fromXML(xml);\\n        assertThat(read, instanceOf(InstallState.class));\\n        InstallState state = (InstallState) read;\\n        return state;\\n    }'"")]"
matches,"core/src/test/java/hudson/logging/LogRecorderTest.java:133:19::hudson.logging.LogRecorderTest.Boolean matches(Stringtarget,Stringlogger)",LogRecorderTest.java,core/src/test/java/hudson/logging/LogRecorderTest.java,133,135,19,4,5401,5505,"[(133, ""'Boolean matches(String target, String logger) {\\n        return matches(target, logger, Level.INFO);\\n    }'"")]"
doDynamic,"core/src/main/java/hudson/util/HudsonIsLoading.java:44:11::hudson.util.HudsonIsLoading.void doDynamic(StaplerRequestreq,StaplerResponsersp)",HudsonIsLoading.java,core/src/main/java/hudson/util/HudsonIsLoading.java,44,47,11,4,1738,1966,"[(44, '\'void doDynamic(StaplerRequest req, StaplerResponse rsp) throws IOException, ServletException, InterruptedException {\\n        rsp.setStatus(SC_SERVICE_UNAVAILABLE);\\n        req.getView(this, ""index.jelly"").forward(req, rsp);\\n    }\'')]"
write,"core/src/main/java/hudson/util/AtomicFileWriter.java:167:11::hudson.util.AtomicFileWriter.void write(char[]cbuf,intoff,intlen)",AtomicFileWriter.java,core/src/main/java/hudson/util/AtomicFileWriter.java,167,169,11,4,6428,6531,"[(167, ""'void write(char[] cbuf, int off, int len) throws IOException {\\n        core.write(cbuf, off, len);\\n    }'"")]"
getTrigger,core/src/main/java/jenkins/model/Jenkins.java:1551:11::jenkins.model.Jenkins.TriggerDescriptor getTrigger(StringshortClassName),Jenkins.java,core/src/main/java/jenkins/model/Jenkins.java,1551,1553,11,4,57961,58101,"[(1551, ""'TriggerDescriptor getTrigger(String shortClassName) {\\n        return (TriggerDescriptor) findDescriptor(shortClassName, Trigger.all());\\n    }'"")]"
fileToPath,core/src/main/java/hudson/Util.java:1743:27::hudson.Util.Path fileToPath(@NonNullFilefile),Util.java,core/src/main/java/hudson/Util.java,1743,1749,27,4,67765,67965,"[(1743, ""'Path fileToPath(@NonNull File file) throws IOException {\\n        try {\\n            return file.toPath();\\n        } catch (InvalidPathException e) {\\n            throw new IOException(e);\\n        }\\n    }'"")]"
setCurrentLevel,core/src/main/java/jenkins/install/SetupWizard.java:463:16::jenkins.install.SetupWizard.void setCurrentLevel(VersionNumberv),SetupWizard.java,core/src/main/java/jenkins/install/SetupWizard.java,463,465,16,4,21175,21342,"[(463, ""'void setCurrentLevel(VersionNumber v) throws IOException {\\n        Files.writeString(Util.fileToPath(getUpdateStateFile()), v.toString(), StandardCharsets.UTF_8);\\n    }'"")]"
init,core/src/main/java/hudson/init/impl/InstallUncaughtExceptionHandler.java:32:18::hudson.init.impl.InstallUncaughtExceptionHandler.void init(finalJenkinsj),InstallUncaughtExceptionHandler.java,core/src/main/java/hudson/init/impl/InstallUncaughtExceptionHandler.java,32,46,18,4,1094,2352,"[(32, '\'void init(final Jenkins j) throws IOException {\\n        CompressionFilter.setUncaughtExceptionHandler(j.servletContext, (e, context, req, rsp) -> handleException(j, e, req, rsp, 500));\\n        try {\\n            Thread.setDefaultUncaughtExceptionHandler(new DefaultUncaughtExceptionHandler());\\n            LOGGER.log(Level.FINE, ""Successfully installed a global UncaughtExceptionHandler."");\\n        }\\n        catch (SecurityException ex) {\\n            LOGGER.log(Level.SEVERE,\\n                                                       ""Failed to set the default UncaughtExceptionHandler. "" +\\n                                                       ""If any threads die due to unhandled coding errors then there will be no logging of this information. "" +\\n                                                       ""The lack of this diagnostic information will make it harder to track down issues which will reduce the supportability of Jenkins. "" +\\n                                                       ""It is highly recommended that you consult the documentation that comes with your servlet container on how to allow the "" +\\n                                                       ""`setDefaultUncaughtExceptionHandler` permission and enable it."", ex);\\n        }\\n    }\'')]"
isJunctionOrSymlink,core/src/main/java/hudson/util/jna/Kernel32Utils.java:111:18::hudson.util.jna.Kernel32Utils.boolean isJunctionOrSymlink(Filefile),Kernel32Utils.java,core/src/main/java/hudson/util/jna/Kernel32Utils.java,111,113,18,4,4350,4451,"[(111, ""'boolean isJunctionOrSymlink(File file) throws IOException {\\n        return Util.isSymlink(file);\\n    }'"")]"
contains,core/src/main/java/hudson/model/ProxyView.java:91:11::hudson.model.ProxyView.boolean contains(TopLevelItemitem),ProxyView.java,core/src/main/java/hudson/model/ProxyView.java,91,93,11,4,2998,3088,"[(91, ""'boolean contains(TopLevelItem item) {\\n        return getProxiedView().contains(item);\\n    }'"")]"
getRelativeNameFromGroup,core/src/main/java/hudson/model/AbstractItem.java:511:11::hudson.model.AbstractItem.String getRelativeNameFromGroup(ItemGroupp),AbstractItem.java,core/src/main/java/hudson/model/AbstractItem.java,511,513,11,4,19071,19161,"[(511, ""'String getRelativeNameFromGroup(ItemGroup p) {\\n        return getRelativeNameFrom(p);\\n    }'"")]"
checkUserCannotBeCreatedWith_custom,"test/src/test/java/hudson/security/HudsonPrivateSecurityRealmTest.java:585:12::hudson.security.HudsonPrivateSecurityRealmTest.void checkUserCannotBeCreatedWith_custom(HudsonPrivateSecurityRealmsecurityRealm,Stringid,Stringpassword,StringfullName,Stringemail,Stringregex)",HudsonPrivateSecurityRealmTest.java,test/src/test/java/hudson/security/HudsonPrivateSecurityRealmTest.java,585,595,12,4,25401,26097,"[(585, '\'void checkUserCannotBeCreatedWith_custom(HudsonPrivateSecurityRealm securityRealm, String id, String password, String fullName, String email, String regex) throws Exception {\\n        JenkinsRule.WebClient wc = j.createWebClient();\\n        SignupPage signup = new SignupPage(wc.goTo(""signup""));\\n        signup.enterUsername(id);\\n        signup.enterPassword(password);\\n        signup.enterFullName(fullName);\\n        signup.enterEmail(email);\\n        HtmlPage success = signup.submit(j);\\n        assertThat(success.getElementById(""main-panel"").getTextContent(), not(containsString(""Success"")));\\n        assertThat(success.getElementById(""main-panel"").getTextContent(), containsString(regex));\\n    }\'')]"
getDescriptor,core/src/main/java/jenkins/model/Jenkins.java:1599:11::jenkins.model.Jenkins.Descriptor getDescriptor(Stringid),Jenkins.java,core/src/main/java/jenkins/model/Jenkins.java,1599,1619,11,4,59759,60690,"[(1599, '\'Descriptor getDescriptor(String id) {\\n        // legacy descriptors that are registered manually doesn\\\'t show up in getExtensionList, so check them explicitly.\\n        Iterable<Descriptor> descriptors = Iterators.sequence(getExtensionList(Descriptor.class), DescriptorExtensionList.listLegacyInstances());\\n        for (Descriptor d : descriptors) {\\n            if (d.getId().equals(id)) {\\n                return d;\\n            }\\n        }\\n        Descriptor candidate = null;\\n        for (Descriptor d : descriptors) {\\n            String name = d.getId();\\n            if (name.substring(name.lastIndexOf(\\\'.\\\') + 1).equals(id)) {\\n                if (candidate == null) {\\n                    candidate = d;\\n                } else {\\n                    throw new IllegalArgumentException(id + "" is ambiguous; matches both "" + name + "" and "" + candidate.getId());\\n                }\\n            }\\n        }\\n        return candidate;\\n    }\'')]"
